的,de,"possessive, adjectival suffix",8
在,zài,"be at, in, on; consist in, rest",6
有,yǒu,"have, own, possess; exist",6
这,zhè,"this, the, here",7
们,men,adjunct pronoun indicate plural,5
来,lái,"come, coming; return, returning",7
为,wèi,"do, handle, govern, act; be",4
和,hé,"harmony, peace; peaceful, calm",8
地,de,"earth; soil, ground; region",6
到,dào,"go to, arrive, been to",8
以,yǐ,"by means of; thereby, therefore; consider as; in order to",4
说,shuō,"speak, say, talk; scold, upbraid",9
时,shí,"time, season; era, age, period",7
就,jiù,"just, simply; to come, go to; to approach, near",12
出,chū,"go out, send out; stand; produce",5
会,huì,"assemble, meet together; meeting",6
可,kě,"may, can, -able; possibly",5
对,duì,"correct, right; facing, opposed",5
生,shēng,"life, living, lifetime; birth",5
能,néng,"to be able; can, permitted to; ability",10
而,ér,and; and then; and yet; but,6
得,dé,"obtain, get, gain, acquire",11
于,yú,"in, on, at; go to; surname",3
着,zhe,"make move, take action",11
下,xià,"under, underneath, below; down; inferior; bring down",3
自,zì,"self, private, personal; from",6
之,zhī,"marks preceding phrase as modifier of following phrase; it, him her, them; go to",3
过,guò,"pass, pass through, go across",6
发,fā,"issue, dispatch, send out; hair",5
后,hòu,"queen, empress, sovereign; (simp. for ",6
作,zuò,"make; work; compose, write; act, perform",7
里,lǐ,unit of distance; village; lane,7
用,yòng,"use, employ, apply, operate; use",5
道,dào,"path, road, street; method, way",12
行,xíng,"go; walk; move, travel; circulate",6
所,suǒ,"place, location; numerary adjunct",8
然,rán,"yes, certainly; pledge, promise",12
家,jiā,"house, home, residence; family",10
种,zhǒng,"seed; race, breed; to plant",9
事,shì,"affair, matter, business; to serve; accident, incident",8
成,chéng,"completed, finished, fixed",6
经,jīng,classic works; pass through,8
么,me,interrogative particle; repetition of a tune small; tender,3
去,qù,"go away, leave, depart",5
法,fǎ,"law, rule, regulation, statute; France, French",8
学,xué,"learning, knowledge; school",8
如,rú,"if, supposing; as if; like, as",6
都,dōu,"metropolis, capital; all, the whole; elegant, refined",10
同,tóng,"same, similar; together with",6
当,dāng,"bear, accept, undertake; just",6
没,méi,"not, have not, none; drown, sink",7
动,dòng,"move, happen; movement, action",6
面,miàn,"face; surface; plane; side, dimension",9
起,qǐ,"rise, stand up; go up; begin",10
看,kàn,"look, see; examine, scrutinize",9
定,dìng,"decide, settle, fix",8
天,tiān,"sky, heaven; god, celestial",4
分,fēn,divide; small unit of time etc.,4
还,hái,"still, yet, also, besides",7
进,jìn,"advance, make progress, enter",7
好,hǎo,"good, excellent, fine; well",6
部,bù,"part, division, section",10
其,qí,"his, her, its, their; that",8
些,xiē,"little, few; rather, somewhat",8
主,zhǔ,"master, chief owner; host; lord",5
样,yàng,"shape, form, pattern, style",10
理,lǐ,"reason, logic; manage",11
前,qián,"in front, forward; preceding",9
开,kāi,"open; initiate, begin, start",4
但,dàn,"only; but, however, yet, still",7
因,yīn,"cause, reason; by; because (of)",6
只,zhǐ,"only, just, simply",5
从,cóng,"from, by, since, whence, through",4
想,xiǎng,"think, speculate, plan, consider",13
实,shí,"real, true; honest, sincere",8
的,de,"possessive, adjectival suffix",8
在,zài,"be at, in, on; consist in, rest",6
有,yǒu,"have, own, possess; exist",6
我,wǒ,"our, us, i, me, my, we",7
他,tā,"other, another; he, she, it",5
这,zhè,"this, the, here",7
个,gè,"numerary adjunct, piece; single",3
们,men,adjunct pronoun indicate plural,5
来,lái,"come, coming; return, returning",7
上,shàng,"top; superior, highest; go up, send up",3
为,wèi,"do, handle, govern, act; be",4
和,hé,"harmony, peace; peaceful, calm",8
地,de,"earth; soil, ground; region",6
到,dào,"go to, arrive, been to",8
以,yǐ,"by means of; thereby, therefore; consider as; in order to",4
说,shuō,"speak, say, talk; scold, upbraid",9
时,shí,"time, season; era, age, period",7
要,yào,"necessary, essential; necessity",9
就,jiù,"just, simply; to come, go to; to approach, near",12
出,chū,"go out, send out; stand; produce",5
会,huì,"assemble, meet together; meeting",6
可,kě,"may, can, -able; possibly",5
也,yě,also; classical final particle of strong affirmation or identity,3
你,nǐ,"you, second person pronoun",7
对,duì,"correct, right; facing, opposed",5
生,shēng,"life, living, lifetime; birth",5
能,néng,"to be able; can, permitted to; ability",10
而,ér,and; and then; and yet; but,6
子,zi,"offspring, child; fruit, seed of; 1st terrestrial branch",3
那,nà,"that, that one, those",6
得,dé,"obtain, get, gain, acquire",11
于,yú,"in, on, at; go to; surname",3
着,zhe,"make move, take action",11
下,xià,"under, underneath, below; down; inferior; bring down",3
自,zì,"self, private, personal; from",6
之,zhī,"marks preceding phrase as modifier of following phrase; it, him her, them; go to",3
过,guò,"pass, pass through, go across",6
发,fā,"issue, dispatch, send out; hair",5
后,hòu,"queen, empress, sovereign; (simp. for ",6
作,zuò,"make; work; compose, write; act, perform",7
里,lǐ,unit of distance; village; lane,7
用,yòng,"use, employ, apply, operate; use",5
道,dào,"path, road, street; method, way",12
行,xíng,"go; walk; move, travel; circulate",6
所,suǒ,"place, location; numerary adjunct",8
然,rán,"yes, certainly; pledge, promise",12
家,jiā,"house, home, residence; family",10
种,zhǒng,"seed; race, breed; to plant",9
事,shì,"affair, matter, business; to serve; accident, incident",8
成,chéng,"completed, finished, fixed",6
方,fāng,"a square, rectangle; a region; local",4
多,duō,"much, many; more than, over",6
经,jīng,classic works; pass through,8
么,me,interrogative particle; repetition of a tune small; tender,3
去,qù,"go away, leave, depart",5
法,fǎ,"law, rule, regulation, statute; France, French",8
学,xué,"learning, knowledge; school",8
如,rú,"if, supposing; as if; like, as",6
都,dōu,"metropolis, capital; all, the whole; elegant, refined",10
同,tóng,"same, similar; together with",6
现,xiàn,"appear, manifest, become visible",8
当,dāng,"bear, accept, undertake; just",6
没,méi,"not, have not, none; drown, sink",7
动,dòng,"move, happen; movement, action",6
面,miàn,"face; surface; plane; side, dimension",9
起,qǐ,"rise, stand up; go up; begin",10
看,kàn,"look, see; examine, scrutinize",9
定,dìng,"decide, settle, fix",8
分,fēn,divide; small unit of time etc.,4
还,hái,"still, yet, also, besides",7
进,jìn,"advance, make progress, enter",7
好,hǎo,"good, excellent, fine; well",6
部,bù,"part, division, section",10
其,qí,"his, her, its, their; that",8
些,xiē,"little, few; rather, somewhat",8
主,zhǔ,"master, chief owner; host; lord",5
样,yàng,"shape, form, pattern, style",10
理,lǐ,"reason, logic; manage",11
前,qián,"in front, forward; preceding",9
开,kāi,"open; initiate, begin, start",4
但,dàn,"only; but, however, yet, still",7
因,yīn,"cause, reason; by; because (of)",6
只,zhǐ,"only, just, simply",5
从,cóng,"from, by, since, whence, through",4
想,xiǎng,"think, speculate, plan, consider",13
实,shí,"real, true; honest, sincere",8
日,rì,sun; day; daytime,4
军,jūn,"army, military; soldiers, troops",6
者,zhě,that which; he who; those who,8
意,yì,"thought, idea, opinion; think",13
无,wú,"negative, no, not; KangXi radical 71",4
力,lì,"power, capability, influence",2
它,tā,it; other,5
与,yǔ,"and; with; to; for; give, grant",3
长,zhǎng,long; length; excel in; leader,4
把,bǎ,"hold, take; guard; regard as",7
机,jī,desk; machine; moment,6
十,shí,"ten, tenth; complete; perfect",2
民,mín,"people, subjects, citizens",5
第,dì,"sequence, number; grade, degree",11
公,gōng,"fair, equitable; public; duke",4
此,cǐ,"this, these; in this case, then",6
已,yǐ,already; finished; stop,3
使,shǐ,"cause, send on a mission, order; envoy, messenger, ambassador",8
情,qíng,"feeling, sentiment, emotion",11
明,míng,"bright, light, brilliant; clear",8
性,xìng,"nature, character, sex",8
知,zhī,"know, perceive, comprehend",8
全,quán,"maintain, keep whole or intact",6
三,sān,three,3
又,yòu,"and, also, again, in addition",2
点,diǎn,"dot, speck, spot; point, degree",9
正,zhèng,"right, proper, correct",5
业,yè,"profession, business; GB radical 111",5
外,wài,"out, outside, external; foreign",5
将,jiāng,"will, going to, future; general",9
两,liǎng,"two, both, pair, couple; ounce",7
高,gāo,"high, tall; lofty, elevated",10
间,jiān,"midpoint, space; place, locality",7
由,yóu,"cause, reason; from",5
问,wèn,"ask about, inquire after",6
很,hěn,"very, quite, much",9
最,zuì,"most, extremely, exceedingly",12
重,zhòng,"heavy, weighty; double",9
物,wù,"thing, substance, creature",8
手,shǒu,hand,4
应,yīng,"should, ought to, must",7
战,zhàn,"war, fighting, battle",9
向,xiàng,"toward, direction, trend",6
头,tóu,"head; top; chief, first; boss",5
文,wén,"literature, culture, writing",4
体,tǐ,"body; group, class, body, unit; inferior",7
政,zhèng,"government, political affairs",9
美,měi,"beautiful, pretty; pleasing",9
相,xiāng,"mutual, reciprocal, each other",9
见,jiàn,"see, observe, behold; perceive",4
利,lì,"gains, advantage, profit, merit",7
什,shén,"file of ten soldiers; mixed, miscellaneous",4
二,èr,two; twice,2
产,chǎn,"give birth, bring forth, produce",6
或,huò,"or, either, else; perhaps, maybe",8
新,xīn,"new, recent, fresh, modern",13
己,jǐ,"self, oneself; personal, private; 6th heavenly stem",3
制,zhì,system; establish; overpower,8
身,shēn,"body; trunk, hull; rad. no. 158",7
果,guǒ,fruit; result,8
加,jiā,"add to, increase, augment",5
西,xī,"west(ern); westward, occident",6
斯,sī,"this, thus, such; to lop off; emphatic particle",12
月,yuè,moon; month; KangXi radical 74,4
话,huà,"speech, talk, language; dialect",8
合,hé,"combine, unite, join; gather",6
回,huí,"return, turn around; a time",6
特,tè,"special, unique, distinguished",10
代,dài,"replace, replacement (of person or generation); era, generation",5
内,nèi,inside,4
信,xìn,"trust, believe; letter",9
表,biǎo,"show, express, manifest, display",8
化,huà,"change, convert, reform; -ize",4
给,gěi,"give; by, for",9
了,le,to finish; particle of completed action,2
世,shì,generation; world; era,5
位,wèi,"throne; position, post; rank, status; seat",7
次,cì,"order, sequence; next",6
度,dù,"degree, system; manner; to consider",9
门,mén,"gate, door, entrance, opening",3
任,rèn,"trust to, rely on, appoint; to bear, duty, office; allow",6
常,cháng,"common, normal, frequent, regular",11
先,xiān,"first, former, previous",6
海,hǎi,"sea, ocean; maritime",10
通,tōng,"pass through, common, communicate",10
教,jiào,"teach, class",11
儿,ér,"son, child; KangXi radical 10",2
东,dōng,"east, eastern, eastward",5
声,shēng,"sound, voice, noise; tone; music",7
提,tí,hold in hand; lift in hand,12
立,lì,"stand; let stand; establish, set",5
及,jí,extend; reach; come up to; and,3
比,bǐ,"to compare, liken; comparison; than",4
员,yuán,"member; personnel, staff member",7
解,jiě,"loosen, unfasten, untie; explain",13
水,shuǐ,"water, liquid, lotion, juice",4
名,míng,"name, rank, title, position",6
真,zhēn,"real, actual, true, genuine",10
论,lùn,debate; discuss; discourse,6
处,chù,"place, locale; department",5
走,zǒu,"walk, go on foot; run; leave",7
义,yì,"right conduct, righteousness",3
各,gè,"each, individually, every, all",6
入,rù,"enter, come in(to), join",2
几,jǐ,small table,2
口,kǒu,"mouth; open end; entrance, gate",3
认,rèn,"recognize, know, understand",4
条,tiáo,"clause, condition; string, stripe",7
平,píng,"flat, level, even; peaceful",5
系,xì,"system; line, link, connection",7
气,qì,"steam, vapor; KangXi radical 84",4
题,tí,"forehead; title, headline; theme",15
活,huó,"live, exist, survive; lively",9
尔,ěr,"you; that, those; final particle",5
更,gèng,"more, still further, much more",7
别,bié,"separate, other; do not",7
